key_resp.corr,key_resp.rt,Key_resp.corr,Key_resp.rt,,,,Sequential ,Random
1,0.28865100000984967,,,,,,0.288651,0.2257933
1,0.11626380000961944,,,,,,0.1162638,0.4691353
1,0.743737,,,,,,0.743737,0.4308274
1,0.0351702,,,,,,0.0351702,1.3978478
1,0.2579723999951966,,,,,,0.2579724,0.5214664
1,0.3182884999550879,,,,,,0.3182885,0.3801058
1,0.4505601999699138,,,,,,0.4505602,0.3117949
1,0.38769319996936247,,,,,,0.3876932,0.7503542
1,0.12473100004717708,,,,,,0.124731,0.6043985
1,0.0360351,,,,,,0.0360351,0.740924
1,0.084158,,,,,,0.084158,0.7354164
1,0.0296056,,,,,,0.0296056,0.573466
1,0.022437699954025447,,,,,,0.0224377,0.5059682
1,0.2827178000006825,,,,,,0.2827178,0.3430742
1,0.0625088,,,,,,0.0625088,0.592703
1,0.3048162000486627,,,,,,0.3048162,0.4271906
1,0.3323914000065997,,,,,,0.3323914,0.3235429
1,0.10502219997579232,,,,,,0.1050222,0.3723044
1,0.14545599999837577,,,,,,0.145456,0.4519876
1,0.0002083,,,,,,0.0002083,0.0414667
1,0.5580673999502324,,,,,,0.5580674,0.3671751
1,0.5945762,,,,,,0.5945762,0.3177383
1,0.4061718000448309,,,,,,0.4061718,0.5026009
1,0.29352780000772327,,,,,,0.2935278,0.1809668
1,0.3844389999867417,,,,,,0.384439,0.197703
1,0.4171866999822669,,,,,,0.4171867,0.1892193
1,0.5793513999669813,,,,,,0.5793514,0.1570351
1,0.10424660000717267,,,,,,0.1042466,0.8270684
1,0.023568300006445497,,,,,,0.0235683,0.6190562
1,0.0369346,,,,,,0.0369346,0.3301312
1,0.0749239,,,,,,0.0749239,0.2322576
1,0.9405115999979898,,,,,,0.9405116,0.2050115
1,0.3200496999779716,,,,,,0.3200497,0.2249964
1,0.79617,,,,,,0.79617,0.1683784
1,0.3871246000053361,,,,,,0.3871246,0.1431309
1,0.12443349999375641,,,,,,0.1244335,0.6542985
1,0.1422990999999456,,,,,,0.1422991,0.3423055
1,0.19153409998398274,,,,,,0.1915341,0.5534656
1,0.0544,,,,,,0.0544,0.1242064
1,0.4637096999795176,,,,,,0.4637097,0.1056401
1,0.22113969997735694,,,,,,0.2211397,0.7268199
1,0.3658564999932423,,,,,,0.3658565,0.2660611
1,0.008884,,,,,,0.008884,0.1767044
1,0.11276829999405891,,,,,,0.1127683,0.1744181
1,0.6600246999878436,,,,,,0.6600247,0.3017795
1,0.23304429999552667,,,,,,0.2330443,0.199041
1,0.41714999999385327,,,,,,0.41715,0.2832884
1,0.012914100021589547,,,,,,0.0129141,0.3360369
1,0.3940081999753602,,,,,,0.3940082,0.3569794
1,0.16895520000252873,,,,,,0.1689552,0.374928
1,0.0879004,,,,,,0.0879004,0.1732505
1,0.3755871999892406,,,,,,0.3755872,0.1405646
1,0.1714993000496179,,,,,,0.1714993,0.2340798
1,0.0341215,,,,,,0.0341215,0.0365527
1,0.0403357,,,,,,0.0403357,0.3412953
1,0.0727773,,,,,,0.0727773,0.720358
1,0.5869586000335403,,,,,,0.5869586,0.3948225
1,0.0710988,,,,,,0.0710988,0.2377866
1,0.23107530002016574,,,,,,0.2310753,0.0834694
1,0.4052973000216298,,,,,,0.4052973,0.0586649
1,0.37792469997657463,,,,,,0.3779247,0.1847297
1,0.3609380999696441,,,,,,0.3609381,0.0384067
1,0.0976486,,,,,,0.0976486,0.4534689
1,0.36002139997435734,,,,,,0.3600214,0.1765958
1,0.18351180001627654,,,,,,0.1835118,0.2757125
1,0.1788255000137724,,,,,,0.1788255,0.3665287
1,0.25302990002091974,,,,,,0.2530299,0.1120674
1,0.2666122000082396,,,,,,0.2666122,0.3721326
1,0.35998349997680634,,,,,,0.3599835,0.316318
1,0.0097754,,,,,,0.0097754,0.145025
1,0.4254876000341028,,,,,,0.4254876,0.8057776
1,0.4273960000136867,,,,,,0.427396,0.1192911
1,0.16757059999508783,,,,,,0.1675706,0.2374055
1,0.2749857999733649,,,,,,0.2749858,0.2538914
1,0.48980219999793917,,,,,,0.4898022,0.163576
1,0.40763450000667945,,,,,,0.4076345,0.7727863
1,0.6190071000019088,,,,,,0.6190071,0.8805265
1,0.3381484000128694,,,,,,0.3381484,0.4284128
1,0.2261727000004612,,,,,,0.2261727,0.367212
1,0.11672340001678094,,,,,,0.1167234,0.1794205
1,0.2837364000151865,,,,,,0.2837364,
,,1,0.40225759998429567,,,,,
,,1,0.38789179996820167,,,Mean,0.299762592,0.364404881
,,1,2.0454221999971196,,,Stdv,0.25740662,0.259579284
,,1,0.2855907,,,,,
,,1,0.3413015999831259,,,Diff Mean,,0.064642289
,,1,0.5558614999754354,,,,,
,,1,0.17596369999228045,,,,,
,,1,0.21913450001738966,,,,,
,,1,0.0771081,,,,,
,,1,0.4834908999619074,,,,,
,,1,0.1989494,,,,,
,,1,0.2787597000133246,,,,,
,,1,0.42060570005560294,,,,,
,,1,0.2253698999993503,,,,,
,,1,0.44608620001235977,,,,,
,,1,0.4429616999696009,,,,,
,,1,0.2722854,,,,,
,,1,0.2977635000133887,,,,,
,,1,0.36485329997958615,,,,,
,,1,1.8040346000343561,,,,,
,,1,0.8589692999958061,,,,,
,,1,0.4835748000186868,,,,,
,,1,0.20595629996387288,,,,,
,,1,0.27611370000522584,,,,,
,,1,0.6239222000003792,,,,,
,,1,0.6082800999865867,,,,,
,,1,0.37135510001098737,,,,,
,,1,0.35904930002288893,,,,,
,,1,0.8799598999903537,,,,,
,,1,0.46324700000695884,,,,,
,,1,0.43553489999612793,,,,,
,,1,0.5884672999964096,,,,,
,,1,0.7693354000221007,,,,,
,,1,0.5379062999854796,,,,,
,,1,0.2908686000155285,,,,,
,,1,0.3483227999531664,,,,,
,,1,0.2729258999461308,,,,,
,,1,0.0685065,,,,,
,,1,0.0639607,,,,,
,,1,0.022873,,,,,
,,1,0.5001798,,,,,
,,1,0.3537427000119351,,,,,
,,1,0.26128180004889145,,,,,
,,1,0.21984480001265183,,,,,
,,1,0.11012879997724667,,,,,
,,1,0.2511118000256829,,,,,
,,1,0.0564241,,,,,
,,1,0.1190978999948129,,,,,
,,1,0.18368570000166073,,,,,
,,1,0.20887410000432283,,,,,
,,1,0.033567,,,,,
,,1,0.46852180000860244,,,,,
,,1,0.22642719995928928,,,,,
,,1,0.2667264000046998,,,,,
,,1,0.3324949000380002,,,,,
,,1,0.3140633,,,,,
,,1,0.32252469996456057,,,,,
,,1,0.32072299998253584,,,,,
